Matriz,TP,Marcos,Politica,NR,Fallos,Hits,TasaFallos
8x8,64,4,FIFO,1088,12,1076,.011029
8x8,64,4,FIFOModified,1088,12,1076,.011029
8x8,64,4,LRU,1088,12,1076,.011029
8x8,64,8,FIFO,1088,12,1076,.011029
8x8,64,8,FIFOModified,1088,12,1076,.011029
8x8,64,8,LRU,1088,12,1076,.011029
8x8,64,16,FIFO,1088,12,1076,.011029
8x8,64,16,FIFOModified,1088,12,1076,.011029
8x8,64,16,LRU,1088,12,1076,.011029
8x8,256,4,FIFO,1088,3,1085,.002757
8x8,256,4,FIFOModified,1088,3,1085,.002757
8x8,256,4,LRU,1088,3,1085,.002757
8x8,256,8,FIFO,1088,3,1085,.002757
8x8,256,8,FIFOModified,1088,3,1085,.002757
8x8,256,8,LRU,1088,3,1085,.002757
8x8,256,16,FIFO,1088,3,1085,.002757
8x8,256,16,FIFOModified,1088,3,1085,.002757
8x8,256,16,LRU,1088,3,1085,.002757
8x8,1024,4,FIFO,1088,1,1087,.000919
8x8,1024,4,FIFOModified,1088,1,1087,.000919
8x8,1024,4,LRU,1088,1,1087,.000919
8x8,1024,8,FIFO,1088,1,1087,.000919
8x8,1024,8,FIFOModified,1088,1,1087,.000919
8x8,1024,8,LRU,1088,1,1087,.000919
8x8,1024,16,FIFO,1088,1,1087,.000919
8x8,1024,16,FIFOModified,1088,1,1087,.000919
8x8,1024,16,LRU,1088,1,1087,.000919
16x16,64,4,FIFO,8448,4720,3728,.558712
16x16,64,4,FIFOModified,8448,4720,3728,.558712
16x16,64,4,LRU,8448,2354,6094,.278645
16x16,64,8,FIFO,8448,4720,3728,.558712
16x16,64,8,FIFOModified,8448,4720,3728,.558712
16x16,64,8,LRU,8448,2352,6096,.278409
16x16,64,16,FIFO,8448,4720,3728,.558712
16x16,64,16,FIFOModified,8448,4720,3728,.558712
16x16,64,16,LRU,8448,2359,6089,.279237
16x16,256,4,FIFO,8448,12,8436,.001420
16x16,256,4,FIFOModified,8448,12,8436,.001420
16x16,256,4,LRU,8448,12,8436,.001420
16x16,256,8,FIFO,8448,12,8436,.001420
16x16,256,8,FIFOModified,8448,12,8436,.001420
16x16,256,8,LRU,8448,12,8436,.001420
16x16,256,16,FIFO,8448,12,8436,.001420
16x16,256,16,FIFOModified,8448,12,8436,.001420
16x16,256,16,LRU,8448,12,8436,.001420
16x16,1024,4,FIFO,8448,3,8445,.000355
16x16,1024,4,FIFOModified,8448,3,8445,.000355
16x16,1024,4,LRU,8448,3,8445,.000355
16x16,1024,8,FIFO,8448,3,8445,.000355
16x16,1024,8,FIFOModified,8448,3,8445,.000355
16x16,1024,8,LRU,8448,3,8445,.000355
16x16,1024,16,FIFO,8448,3,8445,.000355
16x16,1024,16,FIFOModified,8448,3,8445,.000355
16x16,1024,16,LRU,8448,3,8445,.000355
128x128,64,4,FIFO,4210688,2375680,1835008,.564202
128x128,64,4,FIFOModified,4210688,2375680,1835008,.564202
128x128,64,4,LRU,4210688,3610662,600026,.857499
128x128,64,8,FIFO,4210688,2375680,1835008,.564202
128x128,64,8,FIFOModified,4210688,2375680,1835008,.564202
128x128,64,8,LRU,4210688,3565963,644725,.846883
128x128,64,16,FIFO,4210688,2375680,1835008,.564202
128x128,64,16,FIFOModified,4210688,2375680,1835008,.564202
128x128,64,16,LRU,4210688,3615506,595182,.858649
128x128,256,4,FIFO,4210688,2310144,1900544,.548638
128x128,256,4,FIFOModified,4210688,2310144,1900544,.548638
128x128,256,4,LRU,4210688,3362327,848361,.798521
128x128,256,8,FIFO,4210688,2310144,1900544,.548638
128x128,256,8,FIFOModified,4210688,2310144,1900544,.548638
128x128,256,8,LRU,4210688,3368248,842440,.799928
128x128,256,16,FIFO,4210688,2310144,1900544,.548638
128x128,256,16,FIFOModified,4210688,2310144,1900544,.548638
128x128,256,16,LRU,4210688,3344186,866502,.794213
128x128,1024,4,FIFO,4210688,1153728,3056960,.273999
128x128,1024,4,FIFOModified,4210688,1153728,3056960,.273999
128x128,1024,4,LRU,4210688,2245597,1965091,.533308
128x128,1024,8,FIFO,4210688,1153728,3056960,.273999
128x128,1024,8,FIFOModified,4210688,1153728,3056960,.273999
128x128,1024,8,LRU,4210688,2248163,1962525,.533918
128x128,1024,16,FIFO,4210688,1153728,3056960,.273999
128x128,1024,16,FIFOModified,4210688,1153728,3056960,.273999
128x128,1024,16,LRU,4210688,2240525,1970163,.532104
